territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
Молчановская,544,116,42,42,0,36.00,30,71.43,12,28.57
Молчановская,545,410,182,182,1,44.00,131,71.98,50,27.47
Молчановская,546,508,191,191,2,38.00,133,69.63,56,29.32
Молчановская,547,720,288,288,1,40.00,208,72.22,79,27.43
Молчановская,548,776,410,410,2,53.00,258,62.93,150,36.59
Молчановская,549,698,278,278,1,40.00,188,67.63,89,32.01
Молчановская,550,651,332,332,0,51.00,212,63.86,120,36.14
Молчановская,551,670,267,267,4,40.00,181,67.79,82,30.71
Молчановская,552,665,246,246,1,37.00,160,65.04,85,34.55
Молчановская,553,632,292,292,6,46.00,210,71.92,76,26.03
Молчановская,554,54,31,31,0,57.00,25,80.65,6,19.35
Молчановская,555,96,60,60,0,63.00,52,86.67,8,13.33
Молчановская,556,243,156,156,2,64.00,125,80.13,29,18.59
Молчановская,557,109,66,66,4,61.00,57,86.36,5,7.58
Молчановская,558,134,74,74,1,55.00,67,90.54,6,8.11
Молчановская,559,182,91,91,1,50.00,68,74.73,22,24.18
Молчановская,560,117,67,67,0,57.00,43,64.18,24,35.82
Молчановская,561,323,183,183,1,57.00,133,72.68,49,26.78
Молчановская,562,68,42,42,0,62.00,39,92.86,3,7.14
Молчановская,563,359,164,164,0,46.00,132,80.49,32,19.51
Молчановская,564,442,262,262,4,59.00,207,79.01,51,19.47
Молчановская,565,610,234,234,6,38.00,152,64.96,76,32.48
Молчановская,566,453,134,134,0,30.00,99,73.88,35,26.12
Молчановская,567,544,200,200,9,37.00,160,80,31,15.5
Молчановская,568,544,212,212,7,39.00,152,71.7,53,25
Молчановская,569,443,172,172,2,39.00,141,81.98,29,16.86
Парабельская,571,323,185,185,6,57.00,138,74.59,41,22.16
Парабельская,572,888,393,393,1,44.00,237,60.31,155,39.44
Парабельская,573,375,187,187,3,50.00,84,44.92,100,53.48
Парабельская,574,97,60,60,0,62.00,50,83.33,10,16.67
Парабельская,575,748,400,400,5,53.00,301,75.25,94,23.5
Парабельская,576,216,137,137,2,63.00,119,86.86,16,11.68
Парабельская,577,152,113,113,1,74.00,63,55.75,49,43.36
Парабельская,578,60,39,39,0,65.00,34,87.18,5,12.82
Парабельская,579,375,234,234,1,62.00,148,63.25,85,36.32
Парабельская,580,1498,1073,1073,9,72.00,509,47.44,555,51.72
Парабельская,581,1229,597,597,10,49.00,381,63.82,206,34.51
Парабельская,582,432,217,217,4,50.00,143,65.9,70,32.26
Парабельская,583,834,330,330,8,40.00,207,62.73,115,34.85
Парабельская,584,947,447,447,6,47.00,312,69.8,129,28.86
Парабельская,585,755,373,373,4,49.00,227,60.86,142,38.07
Парабельская,586,282,167,167,4,59.00,129,77.25,34,20.36
Парабельская,587,293,200,200,2,68.00,173,86.5,25,12.5
Парабельская,588,77,51,51,0,66.00,39,76.47,12,23.53
Парабельская,589,87,49,49,1,56.00,41,83.67,7,14.29
Парабельская,590,363,202,202,1,56.00,143,70.79,58,28.71
Парабельская,591,119,84,84,0,71.00,62,73.81,22,26.19
Парабельская,592,473,220,220,6,47.00,161,73.18,53,24.09
Первомайская,593,180,116,116,0,64.00,80,68.97,36,31.03
Первомайская,594,160,92,92,2,57.00,75,81.52,15,16.3
Первомайская,595,350,194,194,5,55.00,148,76.29,41,21.13
Первомайская,596,94,56,56,1,60.00,41,73.21,14,25
Первомайская,597,994,499,499,7,50.00,340,68.14,152,30.46
Первомайская,598,247,153,153,1,62.00,117,76.47,35,22.88
Первомайская,599,239,172,172,0,72.00,126,73.26,46,26.74
Первомайская,600,107,82,82,1,77.00,64,78.05,17,20.73
Первомайская,601,793,411,411,5,52.00,286,69.59,120,29.2
Первомайская,602,748,369,369,5,49.00,243,65.85,121,32.79
Первомайская,603,61,46,46,2,75.00,28,60.87,16,34.78
Первомайская,604,35,24,24,0,69.00,20,83.33,4,16.67
Первомайская,605,731,420,420,4,57.00,326,77.62,90,21.43
Первомайская,606,95,64,64,0,67.00,52,81.25,12,18.75
Первомайская,607,192,116,116,0,60.00,109,93.97,7,6.03
Первомайская,608,125,79,79,0,63.00,44,55.7,35,44.3
Первомайская,609,321,253,253,4,79.00,145,57.31,104,41.11
Первомайская,610,218,182,182,1,83.00,128,70.33,53,29.12
Первомайская,611,1808,995,995,11,55.00,601,60.4,383,38.49
Первомайская,612,1501,622,622,9,41.00,376,60.45,237,38.1
Первомайская,613,1655,751,751,4,45.00,440,58.59,307,40.88
Первомайская,614,872,324,324,3,37.00,237,73.15,84,25.93
Первомайская,615,635,387,387,1,61.00,272,70.28,114,29.46
Первомайская,616,285,105,105,1,37.00,79,75.24,25,23.81
Первомайская,617,302,143,143,3,47.00,101,70.63,39,27.27
Первомайская,618,206,138,138,2,67.00,87,63.04,49,35.51
Первомайская,619,168,106,106,0,63.00,66,62.26,40,37.74
Первомайская,620,348,236,236,2,68.00,163,69.07,71,30.08
Первомайская,621,474,265,265,1,56.00,168,63.4,96,36.23
Первомайская,622,367,234,234,4,64.00,160,68.38,70,29.91
Северская городская,213,2234,1116,1116,21,50.00,740,66.31,355,31.81
Северская городская,214,147,122,122,1,83.00,90,73.77,31,25.41
Северская городская,215,2068,1015,1015,21,49.00,667,65.71,327,32.22
Северская городская,216,2115,1092,1091,13,52.00,711,65.17,367,33.64
Северская городская,217,1890,999,999,12,53.00,674,67.47,313,31.33
Северская городская,218,2088,1073,1070,10,51.00,689,64.39,371,34.67
Северская городская,219,1975,1003,1003,9,51.00,608,60.62,386,38.48
Северская городская,220,2228,1096,1092,15,49.00,687,62.91,390,35.71
Северская городская,221,1989,933,933,5,47.00,588,63.02,340,36.44
Северская городская,222,2456,1129,1129,15,46.00,715,63.33,399,35.34
Северская городская,223,2192,1046,1046,20,48.00,626,59.85,400,38.24
Северская городская,224,2797,1591,1591,29,57.00,874,54.93,688,43.24
Северская городская,225,1900,941,941,6,50.00,632,67.16,303,32.2
Северская городская,226,2129,986,985,19,46.00,593,60.2,373,37.87
Северская городская,227,2253,1029,1025,23,46.00,658,64.2,344,33.56
Северская городская,228,2069,1049,1049,15,51.00,656,62.54,378,36.03
Северская городская,229,2162,1149,1146,16,53.00,713,62.22,417,36.39
Северская городская,230,2475,1206,1206,10,49.00,789,65.42,407,33.75
Северская городская,231,2316,1199,1199,18,52.00,752,62.72,429,35.78
Северская городская,232,1929,946,946,15,49.00,607,64.16,324,34.25
Северская городская,233,2033,1043,1043,7,51.00,662,63.47,374,35.86
Северская городская,234,2626,1247,1246,22,47.00,777,62.36,447,35.87
Северская городская,235,1916,987,986,18,52.00,647,65.62,321,32.56
Северская городская,236,2147,1059,1059,12,49.00,695,65.63,352,33.24
Северская городская,237,2558,1465,1465,9,57.00,888,60.61,568,38.77
Северская городская,238,2081,969,969,12,47.00,628,64.81,329,33.95
Северская городская,239,2483,1396,1388,17,56.00,861,62.03,510,36.74
Северская городская,240,1992,1109,1105,21,56.00,704,63.71,380,34.39
Северская городская,241,2695,1453,1453,19,54.00,899,61.87,535,36.82
Северская городская,242,2150,1070,1070,17,50.00,665,62.15,388,36.26
Северская городская,243,2141,1194,1193,11,56.00,724,60.69,458,38.39
Северская городская,244,2192,1105,1099,19,50.00,725,65.97,355,32.3
Северская городская,245,2164,1153,1153,12,53.00,722,62.62,419,36.34
Северская городская,246,1771,896,896,11,51.00,504,56.25,381,42.52
Северская городская,247,2965,1874,1873,27,63.00,1060,56.59,786,41.96
Северская городская,248,2608,1497,1496,14,57.00,915,61.16,567,37.9
Северская городская,249,221,192,192,1,87.00,122,63.54,69,35.94
Северская городская,250,2276,1165,1165,16,51.00,682,58.54,467,40.09
Северская городская,251,2672,1401,1401,18,52.00,863,61.6,520,37.12
Северская городская,252,772,431,431,7,56.00,259,60.09,165,38.28
Северская городская,253,2334,1070,1070,21,46.00,689,64.39,360,33.64
Северская городская,254,2103,1004,1004,16,48.00,598,59.56,390,38.84
Северская городская,255,509,315,315,0,62.00,236,74.92,79,25.08
Северская городская,256,739,364,364,9,49.00,223,61.26,132,36.26
Северская городская,257,1241,613,613,7,49.00,373,60.85,233,38.01
Cтрежевская городская,358,2412,951,951,6,39.00,600,63.09,345,36.28
Cтрежевская городская,359,2149,785,785,15,37.00,460,58.6,310,39.49
Cтрежевская городская,360,2519,1049,1048,9,42.00,623,59.45,416,39.69
Cтрежевская городская,361,2588,1186,1186,12,46.00,723,60.96,451,38.03
Cтрежевская городская,362,2471,1109,1109,3,45.00,672,60.6,434,39.13
Cтрежевская городская,363,2374,934,934,7,39.00,523,55.99,404,43.25
Cтрежевская городская,364,2387,1005,1005,7,42.00,600,59.7,398,39.6
Cтрежевская городская,365,2504,1180,1180,17,47.00,731,61.95,432,36.61
Cтрежевская городская,366,2691,1046,1046,15,39.00,625,59.75,406,38.81
Cтрежевская городская,367,2216,838,838,8,38.00,537,64.08,293,34.96
Cтрежевская городская,368,2349,911,911,5,39.00,564,61.91,342,37.54
Cтрежевская городская,369,2600,1175,1175,14,45.00,722,61.45,439,37.36
Тегульдетская,623,45,25,25,2,56.00,16,64,7,28
Тегульдетская,624,36,30,30,0,83.00,29,96.67,1,3.33
Тегульдетская,625,43,27,27,0,63.00,26,96.3,1,3.7
Тегульдетская,626,120,71,71,1,59.00,52,73.24,18,25.35
Тегульдетская,627,48,23,23,0,48.00,21,91.3,2,8.7
Тегульдетская,628,398,208,208,5,52.00,134,64.42,69,33.17
Тегульдетская,629,337,175,175,0,52.00,116,66.29,59,33.71
Тегульдетская,630,413,189,189,2,46.00,145,76.72,42,22.22
Тегульдетская,631,1243,582,582,9,47.00,393,67.53,180,30.93
Тегульдетская,632,1065,581,581,7,55.00,421,72.46,153,26.33
Тегульдетская,633,625,405,405,9,65.00,298,73.58,98,24.2
Тегульдетская,634,176,107,107,4,61.00,88,82.24,15,14.02
Тегульдетская,635,313,198,198,1,63.00,179,90.4,18,9.09
