territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
Цунтинская,1764,566,338,338,0,59.717314487633,295,87.28,43,12.72
Цунтинская,1765,370,280,280,0,75.675675675676,212,75.71,68,24.29
Цунтинская,1766,358,224,224,0,62.569832402235,97,43.3,127,56.7
Цунтинская,1767,84,68,68,0,80.952380952381,58,85.29,10,14.71
Цунтинская,1768,86,73,73,0,84.883720930233,57,78.08,16,21.92
Цунтинская,1769,107,90,90,0,84.112149532710,80,88.89,10,11.11
Цунтинская,1770,304,195,195,0,64.144736842105,178,91.28,17,8.72
Цунтинская,1771,134,130,130,0,97.014925373134,100,76.92,30,23.08
Цунтинская,1772,235,215,215,10,91.489361702128,175,81.4,30,13.95
Цунтинская,1773,230,142,142,0,61.739130434783,134,94.37,8,5.63
Цунтинская,1774,424,380,380,2,89.622641509434,370,97.37,8,2.11
Цунтинская,1775,119,52,52,0,43.697478991597,37,71.15,15,28.85
Цунтинская,1776,187,173,173,0,92.513368983957,159,91.91,14,8.09
Цунтинская,1777,171,114,114,0,66.666666666667,112,98.25,2,1.75
Цунтинская,1778,55,45,45,0,81.818181818182,40,88.89,5,11.11
Цунтинская,1779,237,201,201,0,84.810126582278,196,97.51,5,2.49
Цунтинская,1780,202,90,90,0,44.554455445545,80,88.89,10,11.11
Цунтинская,1781,251,166,166,0,66.135458167331,139,83.73,27,16.27
Цунтинская,1782,174,56,56,0,32.183908045977,36,64.29,20,35.71
Цунтинская,1783,57,26,26,0,45.614035087719,20,76.92,6,23.08
Цунтинская,1784,89,45,45,0,50.561797752809,30,66.67,15,33.33
Цунтинская,1785,63,27,27,0,42.857142857143,20,74.07,7,25.93
Цунтинская,1786,245,199,199,3,81.224489795918,191,95.98,5,2.51
Цунтинская,1787,340,208,208,0,61.176470588235,177,85.1,31,14.9
Цунтинская,1788,406,371,371,1,91.379310344828,335,90.3,35,9.43
Цунтинская,1789,221,173,173,0,78.280542986425,158,91.33,15,8.67
Цунтинская,1790,113,70,70,0,61.946902654867,70,100,0,0
Цунтинская,1791,74,59,59,0,79.729729729730,22,37.29,37,62.71
