territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
Кожевниковская,509,411,222,222,8,54.014598540146,168,75.68,46,20.72
Кожевниковская,510,256,154,154,0,60.156250000000,119,77.27,35,22.73
Кожевниковская,511,248,156,156,0,62.903225806452,131,83.97,25,16.03
Кожевниковская,512,253,144,144,1,56.916996047431,89,61.81,54,37.5
Кожевниковская,513,262,173,173,0,66.030534351145,102,58.96,71,41.04
Кожевниковская,514,327,152,152,0,46.483180428135,126,82.89,26,17.11
Кожевниковская,515,872,404,404,2,46.330275229358,324,80.2,78,19.31
Кожевниковская,516,281,197,197,1,70.106761565836,158,80.2,38,19.29
Кожевниковская,517,138,100,100,0,72.463768115942,90,90,10,10
Колпашевская,307,796,408,408,5,51.256281407035,278,68.14,125,30.64
Колпашевская,308,1395,625,625,10,44.802867383513,427,68.32,188,30.08
Колпашевская,309,673,360,360,1,53.491827637444,247,68.61,112,31.11
Колпашевская,310,1275,623,623,6,48.862745098039,391,62.76,226,36.28
Колпашевская,311,1093,607,607,11,55.535224153705,400,65.9,196,32.29
Колпашевская,312,1374,669,669,8,48.689956331878,428,63.98,233,34.83
Колпашевская,313,1022,648,648,5,63.405088062622,445,68.67,198,30.56
Колпашевская,314,1050,582,582,7,55.428571428571,383,65.81,192,32.99
Колпашевская,315,1123,693,693,12,61.709706144256,430,62.05,251,36.22
Колпашевская,316,744,361,361,6,48.521505376344,234,64.82,121,33.52
Колпашевская,317,889,434,434,5,48.818897637795,314,72.35,115,26.5
Колпашевская,318,489,255,255,3,52.147239263804,181,70.98,71,27.84
Колпашевская,319,945,516,516,5,54.603174603175,374,72.48,137,26.55
Колпашевская,320,1205,641,641,8,53.195020746888,442,68.95,191,29.8
Колпашевская,321,813,328,328,4,40.344403444034,208,63.41,116,35.37
Колпашевская,322,1177,550,550,3,46.728971962617,356,64.73,191,34.73
Колпашевская,323,956,375,375,5,39.225941422594,260,69.33,110,29.33
Колпашевская,324,652,317,317,4,48.619631901840,224,70.66,89,28.08
Колпашевская,325,607,290,290,6,47.775947281713,206,71.03,78,26.9
Колпашевская,326,953,490,490,7,51.416579223505,345,70.41,138,28.16
Колпашевская,327,719,420,420,4,58.414464534075,301,71.67,115,27.38
Колпашевская,328,734,416,416,3,56.675749318801,298,71.63,115,27.64
Колпашевская,329,1056,628,628,12,59.469696969697,437,69.59,179,28.5
Колпашевская,330,1014,525,525,10,51.775147928994,388,73.9,127,24.19
Колпашевская,331,407,266,266,5,65.356265356265,189,71.05,72,27.07
Колпашевская,332,124,78,78,1,62.903225806452,64,82.05,13,16.67
Колпашевская,333,1361,688,688,5,50.551065393093,474,68.9,209,30.38
Колпашевская,334,946,484,484,8,51.162790697674,336,69.42,140,28.93
Колпашевская,335,166,107,107,0,64.457831325301,78,72.9,29,27.1
Колпашевская,336,83,70,70,0,84.337349397590,60,85.71,10,14.29
Колпашевская,337,1071,599,599,5,55.929038281979,370,61.77,224,37.4
Колпашевская,338,566,300,300,5,53.003533568905,178,59.33,117,39
Колпашевская,339,564,312,312,0,55.319148936170,237,75.96,75,24.04
Колпашевская,340,208,125,125,0,60.096153846154,92,73.6,33,26.4
Колпашевская,341,291,171,171,0,58.762886597938,138,80.7,33,19.3
Колпашевская,342,147,96,96,2,65.306122448980,77,80.21,17,17.71
Колпашевская,343,389,287,287,1,73.778920308483,250,87.11,36,12.54
Колпашевская,344,591,413,413,5,69.881556683587,272,65.86,136,32.93
Колпашевская,345,99,59,59,0,59.595959595960,50,84.75,9,15.25
